regdate,first_name,last_name,email_address,homephone,street,city,state,zipcode
12/2/08 23:19,Michael,Panek,dntisler@jumpstartlab.com,8013626000,1434 WILSON AVE.,Salt lake city,Ut,84105
1/17/09 14:21,Kate,Cebulski,orazrya1@jumpstartlab.com,8015505000,1033 BARBARA PL APT 2,Salt lake city,Ut,84102
1/21/09 22:00,Megan,Engel,bgc64@jumpstartlab.com,0000000000,219 ELIZABETH ST.,Salt lake city,Ut,84102
1/21/09 22:03,Kristen,Gilbert,tpollins6@jumpstartlab.com,0000000000,1343 ASHWOOD CIRCLE,Salt lake city,Ut,84121
1/21/09 22:07,Student,Myett,wjang@jumpstartlab.com,0000000000,834 E. POND VIEW WAY,Salt lake city,Ut,84106
1/21/09 22:09,Adrienne,Xx,rrthleen.oflaherty@jumpstartlab.com,0000000000,1213 MEDICAL PLAZA,Salt lake city,Ut,84121
1/21/09 22:11,Eileen,Ludmer,mhulger@jumpstartlab.com,0000000000,723 11TH AVENUE,Salt lake city,Ut,84103
1/21/09 22:13,Alex,Boozel,jyhiang@jumpstartlab.com,0000000000,220 A STREET,Salt lake city,Ut,84103
1/21/09 22:15,Susan,Berkley,ceebst.4@jumpstartlab.com,0000000000,1033 BARBARA PL,Salt lake city,Ut,84102
1/21/09 22:17,Emma,Kopkin,sxcoffey@jumpstartlab.com,0000000000,1033 BARBARA PL,Salt lake city,Ut,84102
1/21/09 22:19,Kate,Armacost,hgle.saud@jumpstartlab.com,0000000000,1033 BARBARA PL,Salt lake city,Ut,84102
2/1/09 17:14,Lindsey,Woolworth,eoeal@jumpstartlab.com,8013594000,350 SOUTH 200 EAST #406,Salt lake city,Ut,84111
2/1/09 22:00,Rich,Wynn,vkrenzo.serna@jumpstartlab.com,0000000000,2887 WAINWRIGHT ROAD,Salt lake city,Ut,84109
