regdate,first_name,last_name,email_address,homephone,street,city,state,zipcode
11/12/08 10:47,Allison,Nguyen,arannon@jumpstartlab.com,0000000000,3155 19TH ST NW,Washington,Dc,20010
11/12/08 13:23,Sarah,Hankins,pinalevitsky@jumpstartlab.com,4145205000,2022 15TH STREET NW,Washington,Dc,20009
12/8/08 20:31,Sofia,Murillo,lpohen@jumpstartlab.com,2023192000,"702 H ST, SUITE 300",Washington,Dc,20001
12/11/08 11:56,Katie,Baimas-george,svsullivan88@jumpstartlab.com,6085169000,1123 HARVARD ST. UNIT R,Washington,Dc,20009
12/19/08 10:40,Nate,Endres,rmaiorana@jumpstartlab.com,0000000000,3332 QUESADA ST.,Nw,Dc,20015
12/19/08 12:32,Melanie,Stevenson,jebergma@jumpstartlab.com,2022703000,3646 WARDER ST. NW,Washington,Dc,20010
12/19/08 12:38,Aurora,Ortega,yfr42@jumpstartlab.com,2025543000,520 N ST SW,Washington,Dc,20024
12/19/08 12:44,Justin,Chinana,ipesha226@jumpstartlab.com,4349891000,3321 16TH ST NW,Washington,Dc,20010
12/19/08 12:49,Lee,Sachs,bwd6273@jumpstartlab.com,2026352000,1225 OTIS ST NE,Washington,Dc,20017
12/19/08 12:58,Kristina,Trowbridge,oumandrell@jumpstartlab.com,2024816000,"110 MARYLAND AVE., NE, SUITE 108",Washington,Dc,20002
12/19/08 13:15,Sean,Modawal,ufmpalley@jumpstartlab.com,2022327000,1718 CONNECTICUT AVE. NW SUITE 300,Washington,Dc,20009
12/19/08 13:16,Michael,Murphy,bxthewsm@jumpstartlab.com,2022327000,1718 CONNECTICUT AVE. NW SUITE 300,Washington,Dc,20009
12/19/08 13:19,Callie,Mclaughlin,gdacyjamesrossi2@jumpstartlab.com,2025523000,"391 MICHIGAN AVE., NE",Washington,Dc,20017
12/19/08 13:30,Eva,Rotman,cgngo8456@jumpstartlab.com,2027564000,PO BOX 29132,Washington,Dc,20017
12/20/08 14:05,Donna,Taylor,hmisjohnsonps@jumpstartlab.com,2157150000,1409 37TH ST NW,Washington,Dc,20007
12/20/08 16:43,Dan,Fraissinet,kggoyer@jumpstartlab.com,0000000000,"BOX #577150, GEORGETOWN UNIV.",Washington,Dc,20057
1/5/09 15:32,William,Kristian,xokelly@jumpstartlab.com,6036615000,812 RANDOLPH ST. NW,Washington,Dc,20011
1/7/09 10:57,Jessie,Kurdyla,etcooke11@jumpstartlab.com,8059075000,"2915 CONNECTICUT AVENUE, NW APT. 207",Washington,Dc,20008
1/12/09 2:55,Sophie,Lade,cpagenkn@jumpstartlab.com,0000000000,2505 13TH ST. NW,Washington,Dc,20009
1/12/09 2:57,Lala,Leung,vsmcneal@jumpstartlab.com,0000000000,2505 13TH ST. NW,Washington,Dc,20009
1/15/09 16:08,Daryl,Gutbrod,tknt.jamie@jumpstartlab.com,0000000000,2941 CHESAPEAKE ST NW,Washington,Dc,20008
1/17/09 0:38,Megan,Craig,nslopuppet_o_o@jumpstartlab.com,9172806000,1409 37TH ST.,Washington,Dc,20007
1/18/09 2:48,Laura,Xx,abnedoe3@jumpstartlab.com,8026594000,"2601 WOODLEY PLACE NW, APT 813",Washington,Dc,20008
1/19/09 11:22,Jeannie,Bryant,kkserpe08@jumpstartlab.com,8457973000,"2727 29TH STREET NW, APT 305",Washington,Dc,20008
1/19/09 11:29,Rachel,Haut,jqisten.greenwald@jumpstartlab.com,8457973000,"2727 29TH STREET NW, APT. 232",Washington,Dc,20008
1/19/09 11:35,Lucia,Karoluk,wonisegarcia666@jumpstartlab.com,3157500000,"2727 29TH STREET NW, APT. 305",Washington,Dc,20008
1/19/09 11:43,Jenna,B,wdack.satin.feathers@jumpstartlab.com,9739021000,"2727 29TH STREET NW, APT. 305",Washington,Dc,20008
